master_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rf_score,segment,categories
0b69b974-e487-11ea-b769-000d3a38a36f,100,2.0,105.47999999999999,3,1,1,31,about_to_sleep,[ERKEK]
0b89590e-9db7-11e9-9897-000d3a38a36f,187,10.0,1325.9,2,5,5,25,cant_loose,[ERKEK]
0b915c22-aa54-11e9-a2fc-000d3a38a36f,117,3.0,190.86,3,2,1,32,about_to_sleep,"[ERKEK, KADIN, AKTIFSPOR]"
0bf5efee-b00c-11e9-9757-000d3a38a36f,239,8.0,1270.77,1,5,5,15,cant_loose,[ERKEK]
0bf68534-9ece-11e9-9897-000d3a38a36f,317,12.0,1600.74,1,5,5,15,cant_loose,"[AKTIFCOCUK, ERKEK, AKTIFSPOR]"
0c16314e-a870-11e9-a2fc-000d3a38a36f,130,2.0,329.11,3,1,2,31,about_to_sleep,[AKTIFCOCUK]
0c24fc44-2ac8-11ea-9d27-000d3a38a36f,115,2.0,1558.53,3,1,5,31,about_to_sleep,"[ERKEK, KADIN]"
0c5bf524-a7c3-11e9-a2fc-000d3a38a36f,99,2.0,238.82999999999998,3,1,1,31,about_to_sleep,[COCUK]
0c6996e6-a518-11e9-a2fc-000d3a38a36f,4,2.0,451.6,5,1,2,51,new_customers,"[ERKEK, COCUK]"
0ca16b6c-5b06-11ea-8392-000d3a38a36f,110,2.0,244.14000000000001,3,1,1,31,about_to_sleep,"[ERKEK, AKTIFSPOR]"
0cb4b7ca-2cee-11eb-ac5f-000d3a299ebf,126,2.0,277.76,3,1,1,31,about_to_sleep,"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]"
0d022188-b15f-11e9-89fa-000d3a38a36f,216,8.0,814.88,2,5,4,25,cant_loose,[ERKEK]
0d0bea06-5bcd-11ea-a825-000d3a38a36f,22,2.0,269.98,5,1,1,51,new_customers,"[AKTIFCOCUK, COCUK]"
0d371530-ac11-11e9-a2fc-000d3a38a36f,113,2.0,230.87,3,1,1,31,about_to_sleep,"[ERKEK, KADIN]"
0d5265a8-24cd-11ea-bf27-000d3a38a36f,136,3.0,513.38,3,2,3,32,about_to_sleep,"[COCUK, KADIN]"
0d5973ba-d702-11ea-82f4-000d3a38a36f,136,2.0,259.96999999999997,3,1,1,31,about_to_sleep,[ERKEK]
0dbae108-541d-11ea-b1db-000d3a38a36f,108,3.0,591.44,3,2,3,32,about_to_sleep,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]"
0dcbca78-97b5-11ea-9d91-000d3a38a36f,103,3.0,356.77,3,2,2,32,about_to_sleep,"[AKTIFCOCUK, ERKEK, COCUK, KADIN]"
0dd11f56-8d73-11ea-8f41-000d3a38a36f,135,2.0,327.92999999999995,3,1,2,31,about_to_sleep,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
0def6cec-5b30-11ea-83be-000d3a38a36f,239,9.0,863.02,1,5,4,15,cant_loose,"[ERKEK, AKTIFSPOR]"
0e026246-ae21-11e9-a2fc-000d3a38a36f,114,3.0,446.44,3,2,2,32,about_to_sleep,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
0e0edc56-1a2d-11ea-941b-000d3a38a36f,135,2.0,496.61,3,1,3,31,about_to_sleep,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
0e5836c2-d69d-11e9-93bc-000d3a38a36f,6,2.0,366.33000000000004,5,1,2,51,new_customers,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
0e6693d6-a99b-11e9-a2fc-000d3a38a36f,190,23.0,3223.25,2,5,5,25,cant_loose,"[AKTIFCOCUK, KADIN]"
0e67e440-95b0-11eb-b5c3-000d3a38a36f,8,2.0,299.87,5,1,1,51,new_customers,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
0ebe5f68-b089-11e9-9757-000d3a38a36f,145,2.0,127.97999999999999,3,1,1,31,about_to_sleep,"[COCUK, AKTIFSPOR]"
0f050bfc-8c9d-11ea-8f41-000d3a38a36f,7,2.0,427.95,5,1,2,51,new_customers,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
0f115e3c-a144-11ea-afff-000d3a38a36f,117,3.0,281.7,3,2,1,32,about_to_sleep,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
0f61b526-a9ce-11e9-a2fc-000d3a38a36f,119,2.0,320.08000000000004,3,1,2,31,about_to_sleep,[ERKEK]
0f63f6c0-a1bc-11e9-a2fc-000d3a38a36f,110,3.0,302.96,3,2,2,32,about_to_sleep,[ERKEK]
